8203	 Nb OF LASER SHOTS	R	U	D		2	
8206	 Delay between Mie & Ray	R	U	D	m	2	
8208	 Th Ctrl SET POINT / A	R	I	D	°C	2	
8209	 Th Ctrl C1 Param / A	R	I	D	vmAC	2	
8210	 Th Ctrl C2 Param / A	R	I	D	vmAC	2	
8211	 Th Ctrl OUT MAX (LIMIT)	R	U	D	vmA	2	
8212	 CLAMP START	R	U	D	mics	2	
8213	 CLAMP LENGTH	R	U	D	mics	2	
8214	 ENCODE START	R	U	D	mics	2	
8218	 DC/DC SYNCHRO PHASE	R	U	D	mics	2	
8225	 SELECT CURRENT CONV / A	R	U	D	Ohms	2	
8230	 MIE ACCD Temp TM / A	R	I	D	°C	2	
8231	  MIE TEC CURRENT TM / A	R	I	D	mA	2	
8232	 RAY ACCD Temp TM / A	R	I	D	°C	2	
8233	 RAY TEC CURRENT TM / A	R	I	D	mA	2	
8234	 TEC Th Ctrl RESULT TM	R	U	D	vmA	2	
8235	 DEU Temp 1 TELEMETRY	R	I	D	°C	2	
8236	 DEU Temp 2 TELEMETRY	R	I	D	°C	2	
8237	 DEU Temp 3 TELEMETRY	R	I	D	°C	2	
8238	 DEU Temp 4 TELEMETRY	R	I	D	°C	2	
8239	 DEU Temp 5 TELEMETRY	R	I	D	°C	2	
8240	 DEU Temp 6 TELEMETRY	R	I	D	°C	2	
8242	 DEU VOLTAGE (+VDIG) TM / A	R	I	D	V	2	
8254	 ATM GAIN TELEMETRY	R	I	D		2	
8255	 ATM OFFSET TELEMETRY	R	I	D	LSB	2	
8256	 Nb OF EXECUTED CMDS	R	U	D		2	
8257	 Nb OF REJECTED CMDS	R	U	D		2	
8280	 Temp SETPOINT / A	R	I	D	°C	2	
8281	 GAIN C1 / RAY / A	R	I	D	vmAC	2	
8282	 GAIN C2 / RAY / A	R	I	D	vmAC	2	
8284	 CURRENT CONV / DEU A	R	U	D	Ohms	2	
8401	 SET FREQUENCY COMMAND	R	U	D	Ghz	3	
8402	 CLCL OFFSET	R	I	D	mV	2	
8417	MO Pump Current / TC	R	U	D	A	2	
8418	Temperature	R	U	D	°C	2	
8419	Temperature	R	U	D	°C	2	
8420	Current	R	U	D	A	2	
8421	Voltage	R	U	D	V	2	
8422	Voltage	R	U	D	V	2	
8423	Voltage	R	U	D	V	2	
8424	Voltage	R	U	D	V	2	
8426	MO Prereg Voltage / TC	R	U	D	V	2	
8427	Delay	R	U	D	mics	2	
8428	Delay	R	U	D	mics	2	
8429	PREAMP Prereg Volt / TC	R	U	D	V	2	
8432	PREAMP Pump Current / TC	R	U	D	A	2	
8433	Voltage	R	U	D	V	2	
8434	SHC Temperature	R	U	D	°C	2	
8435	Delay	R	U	D	s	2	
8436	Voltage	R	U	D	V	2	
8437	PD	R	U	D	mJUV	2	
8438	PD	R	U	D	mJIR	2	
8439	Voltage	R	U	D	mV	2	
8449	PD	R	U	D	mJIR	2	
8450	PD	R	U	D	mJIR	2	
8451	Voltage	R	U	D	V	2	
8453	Current	R	U	D	A	2	
8473	TxA thermal law Coeff	R	U	D		2	
8474	MO Pump / Lim / TC	R	U	D	A	2	
8475	PREAMP Pump I / Lim / TC	R	U	D	A	2	
8476	PREAMP Volt Sampled / TM	R	U	D	V	2	
8480	 CLCL max	R	I	D	mV	2	
8481	OCK Output offset	R	I	D	mV	2	
8482	Voltage	R	U	D	V	2	
8485	Temperature	R	U	D	°C	20	
8486	MO Voltage Cmd / TM	R	U	D	A	2	
8487	PREAMP Voltage Cmd / TM	R	U	D	V	2	
8488	Delay	R	U	D	mics	2	
8489	Delay	R	U	D	mics	2	
8490	Voltage	R	U	D	V	2	
8492	MO Voltage Sampled / TM	R	U	D	V	2	
8493	AMP Pump Current / TC	R	U	D	A	2	
8494	AMP Pump I / Lim / TC	R	U	D	A	2	
8495	MO current Cmd	R	U	D	A	2	
8496	PREAMP current Cmd	R	U	D	A	2	
